name,value,year,lastValue,rank
diabetes,252,1910,247,2
malaria,249,1910,241,3
arthritis,100,1910,84,4
dengue,57,1910,56,5
chagas,0,1910,0,6
hiv,0,1910,0,7
tuberculosis,923,1911,869,1
malaria,258,1911,249,2
diabetes,255,1911,252,3
arthritis,110,1911,100,4
dengue,58,1911,57,5
hiv,0,1911,0,6
chagas,0,1911,0,7
tuberculosis,1009,1912,923,1
malaria,267,1912,258,2
diabetes,265,1912,255,3
arthritis,120,1912,110,4
dengue,60,1912,58,5
chagas,0,1912,0,6
hiv,0,1912,0,7
tuberculosis,1125,1913,1009,1
malaria,279,1913,267,2
diabetes,270,1913,265,3
arthritis,131,1913,120,4
dengue,65,1913,60,5
hiv,0,1913,0,6
chagas,0,1913,0,7
tuberculosis,1230,1914,1125,1
malaria,288,1914,279,2
diabetes,279,1914,270,3
arthritis,146,1914,131,4
dengue,65,1914,65,5
hiv,0,1914,0,6
chagas,0,1914,0,7
tuberculosis,1298,1915,1230,1
malaria,304,1915,288,2
diabetes,287,1915,279,3
arthritis,150,1915,146,4
dengue,65,1915,65,5
hiv,0,1915,0,6
chagas,0,1915,0,7
tuberculosis,1352,1916,1298,1
malaria,314,1916,304,2
diabetes,299,1916,287,3
arthritis,152,1916,150,4
dengue,66,1916,65,5
hiv,0,1916,0,6
chagas,0,1916,0,7
tuberculosis,1398,1917,1352,1
malaria,325,1917,314,2
diabetes,313,1917,299,3
arthritis,161,1917,152,4
dengue,66,1917,66,5
hiv,0,1917,0,6
chagas,0,1917,0,7
tuberculosis,1449,1918,1398,1
malaria,348,1918,325,2
diabetes,319,1918,313,3
arthritis,167,1918,161,4
dengue,67,1918,66,5
hiv,0,1918,0,6
chagas,0,1918,0,7
tuberculosis,1501,1919,1449,1
malaria,358,1919,348,2
diabetes,322,1919,319,3
arthritis,170,1919,167,4
dengue,70,1919,67,5
chagas,0,1919,0,6
hiv,0,1919,0,7
tuberculosis,1556,1920,1501,1
malaria,381,1920,358,2
diabetes,335,1920,322,3
arthritis,182,1920,170,4
dengue,70,1920,70,5
hiv,0,1920,0,6
chagas,0,1920,0,7
tuberculosis,1621,1921,1556,1
malaria,399,1921,381,2
diabetes,343,1921,335,3
arthritis,195,1921,182,4
dengue,71,1921,70,5
chagas,0,1921,0,6
hiv,0,1921,0,7
tuberculosis,1683,1922,1621,1
malaria,408,1922,399,2
diabetes,354,1922,343,3
arthritis,212,1922,195,4
dengue,71,1922,71,5
chagas,0,1922,0,6
hiv,0,1922,0,7
tuberculosis,1752,1923,1683,1
malaria,420,1923,408,2
diabetes,378,1923,354,3
arthritis,225,1923,212,4
dengue,74,1923,71,5
hiv,0,1923,0,6
chagas,0,1923,0,7
tuberculosis,1822,1924,1752,1
malaria,438,1924,420,2
diabetes,409,1924,378,3
arthritis,255,1924,225,4
dengue,77,1924,74,5
hiv,0,1924,0,6
chagas,0,1924,0,7
tuberculosis,1899,1925,1822,1
malaria,458,1925,438,2
diabetes,438,1925,409,3
arthritis,272,1925,255,4
dengue,79,1925,77,5
chagas,0,1925,0,6
hiv,0,1925,0,7
tuberculosis,1962,1926,1899,1
malaria,486,1926,458,2
diabetes,459,1926,438,3
arthritis,286,1926,272,4
dengue,81,1926,79,5
chagas,0,1926,0,6
hiv,0,1926,0,7
tuberculosis,2061,1927,1962,1
malaria,515,1927,486,2
diabetes,487,1927,459,3
arthritis,313,1927,286,4
dengue,81,1927,81,5
chagas,0,1927,0,6
hiv,0,1927,0,7
tuberculosis,2135,1928,2061,1
malaria,543,1928,515,2
diabetes,506,1928,487,3
arthritis,327,1928,313,4
dengue,82,1928,81,5
chagas,0,1928,0,6
hiv,0,1928,0,7
tuberculosis,2205,1929,2135,1
